"Phylum"	"Size"	"GC"
"Proteobacteria"	4.72069	47.6
"Proteobacteria"	4.97761	47.6
"Proteobacteria"	4.83825	47.7
"Proteobacteria"	4.8254	47.611
"Proteobacteria"	4.62908	47.6
"Proteobacteria"	4.71961	47.6
"Proteobacteria"	4.77089	47.7
"Proteobacteria"	4.75061	47.6
"Proteobacteria"	4.82986	47.6065
"Proteobacteria"	4.70175	47.6558
"Proteobacteria"	4.80321	47.7169
"Proteobacteria"	4.68701	47.615
"Proteobacteria"	4.87984	47.7026
"Proteobacteria"	4.64629	47.6514
"Proteobacteria"	4.72586	47.6867
"Proteobacteria"	4.58111	47.5
"Proteobacteria"	4.57213	47.5
"Proteobacteria"	4.57831	47.5
"Proteobacteria"	4.56018	47.5
"Proteobacteria"	4.52749	47.6
"Proteobacteria"	4.56381	47.5
"Proteobacteria"	4.59268	47.5
"Proteobacteria"	4.57298	47.5
"Proteobacteria"	4.60507	47.5
"Proteobacteria"	4.81292	47.6037
"Proteobacteria"	4.80226	47.6053
"Proteobacteria"	4.65841	47.6472
"Proteobacteria"	4.7095	47.6065
"Proteobacteria"	4.59392	47.5
"Proteobacteria"	4.73468	46
"Proteobacteria"	4.64321	46
"Proteobacteria"	4.68898	46
"Proteobacteria"	4.76175	46
"Proteobacteria"	4.68527	46
"Proteobacteria"	4.78794	46
"Proteobacteria"	4.76401	46
"Proteobacteria"	4.7636	46
"Proteobacteria"	4.64503	46
"Proteobacteria"	4.74042	46
"Proteobacteria"	4.68247	46
"Proteobacteria"	4.8276	46
"Proteobacteria"	4.73564	46
"Proteobacteria"	4.59349	46
"Proteobacteria"	4.75344	46
"Proteobacteria"	4.68726	46
"Proteobacteria"	4.51088	46
"Proteobacteria"	4.76991	46
"Proteobacteria"	4.75803	46
"Proteobacteria"	4.9006	46
"Proteobacteria"	4.68216	46
"Proteobacteria"	4.71691	46
"Proteobacteria"	4.73776	46
"Proteobacteria"	4.75454	46
"Proteobacteria"	4.67492	46
"Proteobacteria"	4.68289	46
"Proteobacteria"	4.63049	46
"Proteobacteria"	4.68916	47.5
"Proteobacteria"	4.65052	47.6
"Proteobacteria"	4.60924	47.7
"Proteobacteria"	4.75301	47.5
"Proteobacteria"	4.65057	47.5
"Proteobacteria"	4.60332	47.6
"Proteobacteria"	4.67669	47.5
"Proteobacteria"	4.64808	47.5
"Proteobacteria"	4.73527	47.5
"Proteobacteria"	4.68047	47.5
"Proteobacteria"	4.682	47.5
"Proteobacteria"	4.64179	47.5
"Proteobacteria"	4.57394	47.9
"Proteobacteria"	4.49849	47.5
"Proteobacteria"	4.47161	47.4
"Proteobacteria"	4.49899	47.5
"Proteobacteria"	4.63452	47.5
"Proteobacteria"	4.67745	47.5
"Proteobacteria"	4.67593	47.5
"Proteobacteria"	4.67513	47.5
"Proteobacteria"	4.76272	47.5
"Proteobacteria"	4.77067	47.4
"Proteobacteria"	4.6449	47.4
"Proteobacteria"	4.68727	47.4
"Proteobacteria"	4.70612	47.5
"Proteobacteria"	4.78004	47.5
"Proteobacteria"	4.66228	47.4
"Proteobacteria"	4.63176	47.5
"Proteobacteria"	4.73227	47.5
"Proteobacteria"	4.67235	47.5
"Proteobacteria"	4.59187	47.8
"Proteobacteria"	4.61589	47.6
"Proteobacteria"	4.6517	27.2
"Firmicutes"	2.77562	32.6
"Firmicutes"	2.92346	32.7
"Firmicutes"	2.84754	32.7742
"Firmicutes"	2.71585	32.7
"Firmicutes"	2.82265	32.7
"Firmicutes"	2.78021	32.7
"Firmicutes"	2.74358	32.7
"Firmicutes"	2.77718	32.7
"Firmicutes"	2.76859	32.7
"Firmicutes"	2.79502	32.7
"Firmicutes"	2.86169	32.7
"Firmicutes"	2.88795	32.7
"Firmicutes"	2.78169	32.7
"Firmicutes"	2.82063	32.8
"Firmicutes"	2.78318	32.7
"Firmicutes"	2.80184	32.7
"Firmicutes"	2.7985	32.8
"Firmicutes"	2.77033	32.7
"Firmicutes"	2.76423	32.7
"Firmicutes"	2.93032	32.6
"Firmicutes"	2.91647	32.8
"Firmicutes"	2.8792	32.7
"Firmicutes"	2.80897	32.6
"Firmicutes"	2.96824	32.8
"Firmicutes"	2.76536	32.7
"Firmicutes"	2.86532	32.7
"Firmicutes"	2.82623	32.5
"Firmicutes"	2.83314	32.7
"Firmicutes"	2.83092	32.8654
"Firmicutes"	2.82997	32.7
"Firmicutes"	2.81945	32.7
"Firmicutes"	2.76534	33
"Firmicutes"	2.81243	32.6
"Firmicutes"	2.87843	32.9
"Firmicutes"	2.76225	32.7
"Firmicutes"	2.77729	32.7
"Firmicutes"	2.76765	32.7
"Firmicutes"	2.81048	32.8
"Firmicutes"	2.76271	32.8
"Firmicutes"	2.82727	32.8
"Firmicutes"	2.84611	32.6
"Firmicutes"	2.87023	32.8
"Firmicutes"	2.81665	32.8
"Firmicutes"	2.74696	32.7
"Firmicutes"	2.78218	32.7
"Firmicutes"	2.73126	32.8
"Firmicutes"	2.85696	32.8
"Firmicutes"	2.76986	32.8
"Firmicutes"	2.82217	32.7
"Firmicutes"	2.82536	32.7
"Firmicutes"	2.74253	32.8
"Firmicutes"	2.82136	32.9
"Firmicutes"	2.81386	32.7956
"Firmicutes"	2.90364	32.8654
"Firmicutes"	2.83947	32.7644
"Firmicutes"	2.90262	32.8
"Firmicutes"	2.82045	32.867
"Firmicutes"	2.82046	32.8
"Firmicutes"	2.93713	32.8658
"Firmicutes"	2.93694	32.9648
"Firmicutes"	2.91747	32.7392
"Firmicutes"	2.88017	32.9
"Firmicutes"	2.8789	32.9
"Firmicutes"	2.90308	32.7742
"Firmicutes"	2.89959	32.8
"Firmicutes"	2.66339	32.7
"Firmicutes"	2.7614	32.6
"Firmicutes"	2.80194	32.6
"Firmicutes"	2.78864	32.9
"Firmicutes"	2.69257	32.8
"Firmicutes"	2.78764	32.3652
"Firmicutes"	3.07581	32.7972
"Firmicutes"	2.88537	32.8898
"Firmicutes"	2.75905	32.8419
"Firmicutes"	2.75382	32.9958
"Firmicutes"	2.83248	32.9
"Firmicutes"	2.83216	32.7678
"Firmicutes"	2.92434	32.9
"Firmicutes"	2.82716	32.8593
"Firmicutes"	2.9139	32.8
"Firmicutes"	2.86887	32.8704
"Firmicutes"	2.82145	32.9
"Firmicutes"	2.715	32.9
"Firmicutes"	2.8323	32.8
"Firmicutes"	2.82224	32.6
"Firmicutes"	2.82765	32.8
"Firmicutes"	2.88683	32.7
"Firmicutes"	2.78231	32.9
"Firmicutes"	2.90246	32.6
"Firmicutes"	2.9563	32.6
"Firmicutes"	3.01933	32.6
"Firmicutes"	2.8517	32.7
"Firmicutes"	3.00099	32.6
"Firmicutes"	2.76152	32.7
"Firmicutes"	2.78153	32.7
"Firmicutes"	2.85798	32.6
"Firmicutes"	2.83035	32.8
"Firmicutes"	2.77035	32.7
"Firmicutes"	2.81126	32.8
"Firmicutes"	2.7826	32.7
"Firmicutes"	2.69047	32.7
"Firmicutes"	2.73535	32.7
"Firmicutes"	2.80072	32.6
"Firmicutes"	2.76601	32.7
"Firmicutes"	2.75814	32.7
"Firmicutes"	2.81924	32.7
"Firmicutes"	2.67435	32.7
"Firmicutes"	2.74803	32.7
"Firmicutes"	2.79742	32.7
"Firmicutes"	2.6979	32.7
"Firmicutes"	2.71213	32.7
"Firmicutes"	2.81052	32.7
"Firmicutes"	2.97559	32.5
"Firmicutes"	2.77581	32.7
"Firmicutes"	2.88531	32.6
"Firmicutes"	2.70805	32.7
"Firmicutes"	2.66532	32.8
"Firmicutes"	2.77366	32.7
"Firmicutes"	2.80386	32.7
"Firmicutes"	2.75853	32.6
"Firmicutes"	2.67929	32.7
"Firmicutes"	2.92261	32.6
"Firmicutes"	2.97385	32.8
"Firmicutes"	2.89007	32.7
"Firmicutes"	2.8592	32.8
"Firmicutes"	2.91999	32.8
"Firmicutes"	2.90844	32.8
"Firmicutes"	3.0891	32.7
"Firmicutes"	2.93269	32.8
"Firmicutes"	2.91428	32.7
"Firmicutes"	3.01328	32.8
"Firmicutes"	2.9851	32.8
"Firmicutes"	2.98693	32.8
"Firmicutes"	2.77717	32.7
"Firmicutes"	2.7835	32.6
"Firmicutes"	2.84356	32.7
"Firmicutes"	2.75588	32.7
"Firmicutes"	2.82325	32.7
"Firmicutes"	2.79115	32.7
"Firmicutes"	2.93921	32.8
"Firmicutes"	2.97444	32.9
"Firmicutes"	2.81549	32.6
"Firmicutes"	2.81994	32.7
"Firmicutes"	2.77488	32.7
"Firmicutes"	2.89639	32.7
"Firmicutes"	2.8789	32.6
"Firmicutes"	2.76745	32.7
"Firmicutes"	2.87417	32.5
"Firmicutes"	2.89199	32.6
"Firmicutes"	2.91059	32.7
"Firmicutes"	2.77546	32.7
"Firmicutes"	2.93525	32.6
"Firmicutes"	2.8083	32.6
"Firmicutes"	3.00108	32.6
"Firmicutes"	2.68054	32.9
"Firmicutes"	2.94071	32.8
"Firmicutes"	2.9362	32.9
"Firmicutes"	2.85511	32.9
"Firmicutes"	2.81624	32.9
"Firmicutes"	2.75148	32.9
"Firmicutes"	3.02553	32.9
"Firmicutes"	2.96876	32.6
"Firmicutes"	3.05453	32.9
"Firmicutes"	3.02778	32.8
"Firmicutes"	2.93736	32.9
"Firmicutes"	2.80866	32.9
"Firmicutes"	2.93872	32.9
"Firmicutes"	2.88222	32.9
"Firmicutes"	2.78521	32.9
"Firmicutes"	3.00425	32.9
"Firmicutes"	2.93025	32.9
"Firmicutes"	2.98369	32.9
"Firmicutes"	2.9667	32.9
"Firmicutes"	2.95919	32.9
"Firmicutes"	2.97515	32.9
"Firmicutes"	2.89953	32.9
"Firmicutes"	2.97398	32.6
"Firmicutes"	2.79378	32.6
"Firmicutes"	3.10578	32.6
"Firmicutes"	2.72552	51.5
"Firmicutes"	3.01789	32.8
"Firmicutes"	3.06947	32.8
"Firmicutes"	2.83047	32.9
"Firmicutes"	2.90817	32.9
"Firmicutes"	2.90478	32.9
"Firmicutes"	2.54442	46
"Firmicutes"	2.52853	46
"Firmicutes"	2.90278	46
"Firmicutes"	2.81132	46
"Firmicutes"	2.79039	32.8
"Firmicutes"	2.82562	32.6
"Firmicutes"	2.81666	32.6
"Firmicutes"	2.83784	32.7
"Firmicutes"	2.87668	32.7
"Firmicutes"	2.51804	32.2
"Firmicutes"	2.48676	32.1
"Firmicutes"	2.52325	32.5
"Firmicutes"	2.55299	31.9
"Firmicutes"	2.6115	33.4
"Firmicutes"	2.57995	31.9
"Firmicutes"	2.64384	32.1969
"Firmicutes"	2.56462	32.0512
"Firmicutes"	2.55607	31.9
"Firmicutes"	2.54184	31.8
"Firmicutes"	2.41368	32
"Firmicutes"	2.44985	32
"Firmicutes"	2.48167	32.1
"Firmicutes"	2.44904	32
"Firmicutes"	2.30061	32.1
"Firmicutes"	2.3905	32.1
"Firmicutes"	2.39637	32
"Firmicutes"	2.55572	32.2
"Firmicutes"	2.57714	31.8
"Firmicutes"	2.58501	31.8
"Firmicutes"	2.48041	31.9
"Firmicutes"	2.5465	31.9
"Firmicutes"	2.44822	31.8
"Firmicutes"	2.55182	31.9
"Firmicutes"	2.55316	31.8
"Firmicutes"	2.43703	32
"Firmicutes"	2.43634	31.9
"Firmicutes"	2.44525	31.9
"Firmicutes"	2.4296	32
"Firmicutes"	2.52704	31.9
"Firmicutes"	2.43548	32
"Firmicutes"	2.38	31.9
"Firmicutes"	2.47615	46
"Firmicutes"	2.49979	46
"Firmicutes"	2.48999	46
"Firmicutes"	2.47119	46
"Firmicutes"	2.39904	46
"Firmicutes"	2.58609	46
"Firmicutes"	2.54435	46
"Firmicutes"	2.55564	46
"Firmicutes"	2.47997	46
"Firmicutes"	2.5578	46
"Firmicutes"	2.52373	46
"Firmicutes"	2.46936	46
"Firmicutes"	2.54244	46
"Firmicutes"	2.49532	46
"Firmicutes"	2.37686	46
"Firmicutes"	2.53393	46
"Firmicutes"	2.47774	46
"Firmicutes"	2.44636	46
"Firmicutes"	2.44954	46
"Firmicutes"	2.5973	46
"Firmicutes"	2.61586	46
"Firmicutes"	2.49317	46
"Firmicutes"	2.61896	46
"Firmicutes"	2.73759	46
"Firmicutes"	2.50945	32.1
"Firmicutes"	2.61684	32
"Firmicutes"	2.41226	32.1
"Firmicutes"	2.49336	32.1
"Firmicutes"	2.69382	31.8
"Firmicutes"	2.50856	32
"Firmicutes"	2.40662	27.2
"Firmicutes"	2.63565	34.8644
"Firmicutes"	2.36559	35.3
"Firmicutes"	2.59835	35.8242
"Firmicutes"	2.52948	35.7
"Firmicutes"	2.51874	35.0942
"Firmicutes"	2.57711	35.8771
"Firmicutes"	2.53029	35.7
"Firmicutes"	2.45735	35.76
"Firmicutes"	2.51133	34.9
"Firmicutes"	5.1564	35.4
"Firmicutes"	5.48664	35.2707
"Firmicutes"	5.93494	35.2
"Firmicutes"	5.24057	35.5
"Firmicutes"	5.90875	34.9
"Firmicutes"	5.3487	35.3
"Firmicutes"	5.54331	35.1464
